,t0,m0,mw,x,y,z,area,dt,te
132784,2.47144E+12,1.60E+22,8.735354,2474333,6579583,-32630.23,54243357106,51.71875,5.60597E+14
132874,2.47328E+12,6.50E+22,9.142089,2028594.667,5729196.667,-19008.89333,1.65535E+11,137.4111328,1.98E+15
133091,2.477E+12,2.47E+22,8.862088,2623877.667,7036796.333,-44022.91,82058230864,69.97998047,1.16E+15
133317,2.48213E+12,2.69E+22,8.886386,2363396,6391225.667,-43213.49667,98495189484,118.8203125,8.81206E+14
133475,2.48553E+12,2.15E+22,8.822059,2631193.667,7107422.667,-46616.56333,73016083918,85.15820313,1.06E+15
133547,2.48832E+12,1.02E+22,8.605103,1703169.333,5388089,-26975.65,41089554386,71.90917969,3.54728E+14
133639,2.49082E+12,1.43E+22,8.702964,2525163,6705754.667,-38369.91667,55123655588,59.31494141,4.91759E+14
133817,2.49441E+12,1.99E+22,8.798979,2651280.667,7103905,-35578.47667,68198190623,66.85791016,8.97172E+14
134070,2.49893E+12,6.34E+21,8.467929,2550890.667,6782580.333,-41957.71667,32487365844,55.21679688,1.80217E+14
134103,2.4992E+12,1.10E+22,8.627504,1861715,5505755.667,-17501.55,35827529816,58.28564453,2.84179E+14
134146,2.49961E+12,1.35E+21,8.020537,2620334,7001833.667,-41826.48333,9756463289,32.48046875,6.82515E+13
134279,2.50161E+12,1.70E+22,8.75424,2380941.333,6389224,-32510.35333,61137642643,57.68701172,5.98805E+14
134356,2.50301E+12,2.22E+22,8.831481,2612567.667,6934986.333,-36078.94,79089490987,85.53662109,9.71429E+14
134640,2.50829E+12,7.92E+21,8.532533,2512513.333,6689555,-41400.17333,30083329996,35.85888672,2.76704E+14
134742,2.50991E+12,1.71E+22,8.755294,2242369.667,6133076.333,-41370.31667,59507950078,80.48632813,6.17655E+14
134790,2.51039E+12,3.99E+21,8.334302,2034334,5703773,-14477.67667,16449461964,32.11767578,1.19157E+14
134841,2.51107E+12,1.98E+22,8.797785,2587949.333,6823265.667,-29785.61333,72744383535,120.112793,8.37691E+14
134927,2.51288E+12,7.66E+21,8.522773,2457280,6577266,-42690.62333,33146454984,45.68945313,2.38548E+14
134984,2.51418E+12,9.16E+21,8.574615,1735272,5421202,-26539.77,37655606435,65.40185547,2.94597E+14
135049,2.51613E+12,7.60E+21,8.520674,2539713,6759894,-43524.39333,32305381305,46.45996094,2.46455E+14
135066,2.5166E+12,6.94E+21,8.494161,2637809.667,7101224.333,-42269.74667,32745384018,77.02636719,3.53765E+14
135238,2.52019E+12,1.43E+22,8.70452,2598139.667,6913302.333,-41143.26,50872624506,40.80419922,5.93725E+14
135275,2.52116E+12,1.47E+22,8.711892,1861715,5505755.667,-17501.55,50424802017,63.11816406,2.77199E+14
