,t0,m0,mw,x,y,z,area,dt,te
106960,2.34478E+12,1.75E+22,8.761342,2419818,6506830.667,-42406.99667,59129450587,56.16845703,6.25679E+14
107013,2.34677E+12,9.96E+21,8.598806,2645988.667,7143707.333,-44375.85333,38983004763,47.70068359,5.53665E+14
107282,2.35194E+12,2.12E+22,8.818229,2624114.667,6984819.667,-37215.22667,79709719135,90.40185547,7.99811E+14
107297,2.35223E+12,1.74E+22,8.760295,1862754.333,5495584.667,-16163.27333,54334080363,50.64013672,5.36335E+14
107475,2.35652E+12,5.97E+21,8.450614,2460115,6547304.667,-31278.41,26457346180,42.94238281,1.78047E+14
107519,2.35717E+12,9.73E+21,8.592073,2646583.667,7119080.667,-39909.99667,32774598952,39.50585938,7.0186E+14
107594,2.35862E+12,1.08E+22,8.621518,2326431.333,6292215,-38636.91667,41508715897,76.88134766,3.64253E+14
107641,2.35982E+12,2.07E+22,8.810858,2492545,6610802.333,-31200.3,77784110900,107.340332,7.11161E+14
107752,2.36404E+12,4.71E+21,8.381839,1653545.667,5334012,-25684.48667,23208364896,47.87158203,1.36952E+14
107950,2.3665E+12,1.50E+22,8.718333,2697446,7188338.667,-33179.72,55089920306,73.67089844,7.86076E+14
108003,2.36724E+12,1.02E+22,8.605745,2442734.667,6545219.333,-40950.35667,45040377088,57.35644531,2.9726E+14
108050,2.3686E+12,1.02E+22,8.607102,2520569.667,6713282.333,-43037.23667,38365376929,47.39746094,4.00362E+14
108059,2.36905E+12,9.73E+21,8.592061,2186780,6026690.333,-41835.71333,33154647803,45.00390625,3.72156E+14
108099,2.37099E+12,3.65E+21,8.308464,2387705,6423433.333,-36643.43,18474110835,35.06591797,1.3134E+14
108333,2.37519E+12,2.03E+22,8.804598,2670599.667,7175701,-39989.35333,69588257148,84.02197266,9.93764E+14
108400,2.37646E+12,1.46E+22,8.709198,2516888,6687637.333,-38160.71667,54333364252,61.13525391,4.8484E+14
108421,2.37746E+12,6.84E+21,8.490199,1825067,5493470.667,-20930.48333,26959430660,38.05175781,2.11111E+14
108522,2.38079E+12,3.52E+21,8.297728,2409707,6466838.333,-35924.19667,17254614931,30.58837891,1.0718E+14
108617,2.38234E+12,4.13E+21,8.343968,2014308.667,5734063.333,-22940.52,17624629745,38.51416016,1.57373E+14
108648,2.38273E+12,2.00E+22,8.800509,2687374.333,7206051.333,-40110.13333,75337088721,105.5151367,8.55195E+14
108841,2.38709E+12,1.47E+22,8.710593,2506467,6592432.333,-21178.28,53408279036,56.1015625,4.90242E+14
108918,2.38867E+12,1.61E+22,8.738361,2296287.667,6245705.667,-42913.25333,58314143871,93.21679688,5.75498E+14
109068,2.39111E+12,6.21E+21,8.462088,1682869.667,5318980.333,-17884.50333,28024315065,44.68847656,1.77226E+14
109075,2.39112E+12,2.26E+22,8.835894,2621666.667,6974606,-37065.51,78030712642,76.08496094,1.05E+15
109164,2.39536E+12,1.05E+22,8.613448,2533001.333,6735911,-41705.40667,48017158216,102.1577148,2.99338E+14
109368,2.39952E+12,2.15E+22,8.821553,2620337,6930763.667,-31194.69667,75293901502,73.45410156,9.72023E+14
109385,2.39971E+12,1.53E+22,8.723076,1866348,5492157.667,-15443.30333,50072954870,45.07714844,4.65286E+14
109613,2.40441E+12,2.02E+22,8.802854,2516234.333,6715259.667,-46245.13667,75934185168,92.30810547,6.43531E+14
109700,2.4065E+12,1.20E+22,8.652543,2191550.667,6035636,-41723.24,43024470657,59.11328125,4.15614E+14
109768,2.40781E+12,1.73E+22,8.759364,2642872,7017726.667,-31096.80667,63686233692,71.13378906,7.54969E+14
110114,2.41435E+12,1.90E+22,8.785902,2559384,6784968.333,-37489.29,72112269085,100.7797852,6.3035E+14
110180,2.41551E+12,1.57E+22,8.731425,2622238.333,7026986,-43961.18,56295917414,68.24023438,7.80512E+14
110199,2.41655E+12,6.34E+21,8.468196,1701971.333,5343182,-18329.12333,27908083975,51.80517578,2.09709E+14
110266,2.41889E+12,1.91E+21,8.121042,1825067,5493470.667,-20930.48333,10589253022,27.38964844,3.35815E+13
110284,2.41925E+12,1.62E+22,8.740233,2343221.333,6345246,-43361.53667,56614462382,58.73339844,5.86868E+14
